company_id,company_name,type,rule_id,text,confidence_pct
1,Abbott India Ltd,pro,4,Strong profit margin indicates operational efficiency.,85
1,Abbott India Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
2,Adani Energy Solutions Ltd,pro,99,Stable financial indicators based on available metrics.,65
2,Adani Energy Solutions Ltd,con,12,Low profit margin indicates operational pressure.,80
3,Adani Enterprises Ltd,pro,99,Stable financial indicators based on available metrics.,65
3,Adani Enterprises Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
4,Adani Green Energy Ltd,pro,4,Strong profit margin indicates operational efficiency.,85
4,Adani Green Energy Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
5,"Adani Ports & Special Economic Zone Ltd
",pro,4,Strong profit margin indicates operational efficiency.,85
5,"Adani Ports & Special Economic Zone Ltd
",con,99,No major negative signal detected; continuous monitoring recommended.,65
6,Adani Power Ltd,pro,4,Strong profit margin indicates operational efficiency.,85
6,Adani Power Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
7,Ambuja Cements Ltd,pro,99,Stable financial indicators based on available metrics.,65
7,Ambuja Cements Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
8,"Apollo Hospitals
Chain of Indian private hospitals",pro,99,Stable financial indicators based on available metrics.,65
8,"Apollo Hospitals
Chain of Indian private hospitals",con,99,No major negative signal detected; continuous monitoring recommended.,65
9,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",pro,99,Stable financial indicators based on available metrics.,65
9,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",con,99,No major negative signal detected; continuous monitoring recommended.,65
10,Adani Total Gas Ltd,pro,99,Stable financial indicators based on available metrics.,65
10,Adani Total Gas Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
11,Axis Bank Ltd,pro,4,Strong profit margin indicates operational efficiency.,85
11,Axis Bank Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
12,Bajaj Auto Ltd,pro,4,Strong profit margin indicates operational efficiency.,85
12,Bajaj Auto Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
13,Bajaj Finserv Ltd,pro,99,Stable financial indicators based on available metrics.,65
13,Bajaj Finserv Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
14,Bajaj Holdings & Investment Ltd,pro,4,Strong profit margin indicates operational efficiency.,85
14,Bajaj Holdings & Investment Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
15,Bajaj Finance Ltd,pro,4,Strong profit margin indicates operational efficiency.,85
15,Bajaj Finance Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
16,Bank of Baroda,pro,4,Strong profit margin indicates operational efficiency.,85
16,Bank of Baroda,con,99,No major negative signal detected; continuous monitoring recommended.,65
17,Bharat Electronics Ltd,pro,4,Strong profit margin indicates operational efficiency.,85
17,Bharat Electronics Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
18,Bharti Airtel Ltd,pro,99,Stable financial indicators based on available metrics.,65
18,Bharti Airtel Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
19,"Bharat Heavy Electricals Limited
",pro,99,Stable financial indicators based on available metrics.,65
19,"Bharat Heavy Electricals Limited
",con,12,Low profit margin indicates operational pressure.,80
20,Bosch Ltd,pro,99,Stable financial indicators based on available metrics.,65
20,Bosch Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
21,Bharat Petroleum Corporation Ltd,pro,99,Stable financial indicators based on available metrics.,65
21,Bharat Petroleum Corporation Ltd,con,12,Low profit margin indicates operational pressure.,80
22,Britannia Industries Ltd,pro,99,Stable financial indicators based on available metrics.,65
22,Britannia Industries Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
23,Canara Bank,pro,99,Stable financial indicators based on available metrics.,65
23,Canara Bank,con,99,No major negative signal detected; continuous monitoring recommended.,65
24,Cholamandalam Investment & Finance Company Ltd,pro,4,Strong profit margin indicates operational efficiency.,85
24,Cholamandalam Investment & Finance Company Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
25,"Cipla Ltd
",pro,4,Strong profit margin indicates operational efficiency.,85
25,"Cipla Ltd
",con,99,No major negative signal detected; continuous monitoring recommended.,65
26,Coal India Ltd,pro,4,Strong profit margin indicates operational efficiency.,85
26,Coal India Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
27,Dabur India Ltd,pro,99,Stable financial indicators based on available metrics.,65
27,Dabur India Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
28,Divis Laboratories Ltd,pro,4,Strong profit margin indicates operational efficiency.,85
28,Divis Laboratories Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
29,DLF Ltd,pro,4,Strong profit margin indicates operational efficiency.,85
29,DLF Ltd,con,99,No major negative signal detected; continuous monitoring recommended.,65
30,Avenue Supermarts Ltd,pro,99,Stable financial indicators based on available metrics.,65
30,Avenue Supermarts Ltd,con,12,Low profit margin indicates operational pressure.,80
